,t0p,t1p,t2p,t3p,t4p,t5p,t6p,t7p,t8p,t9p,t0m,t1m,t2m,t3m,t4m,t5m,t6m,t7m,t8m,t9m
SPAC1002.02,1.0,1.3933712109237497,3.2572034679129303,5.591644942319173,6.93215129393831,5.479337193846733,3.5746592886468633,2.72611326592811,2.1144091582259934,1.4398839293794599,1.0353004000000001,2.9058770000000003,4.153496,4.783119999999999,2.603015,1.6470596000000002,1.4812296999999999,1.6163448,1.3472456,1.1225123
SPAC1002.03c,1.0,0.9101520722447436,0.7859738704179446,0.7503618269638747,0.7459996005091457,0.7702419737117867,0.8000742457119271,0.843705799848824,0.8721574655961177,0.8398639694281064,0.9580266,0.6767119,0.7032145000000001,0.74713796,0.86193997,1.2570742,1.2354136,0.9501565999999999,0.98884183,1.1616242
SPAC1002.04c,1.0,0.9901209274421431,0.9804554976858908,1.050548924939867,1.2480470161313033,1.2174545254149898,0.880529260640669,0.7049992726642347,0.7121031223438626,0.7954771730631244,1.1334772,1.1406415,1.1898993,1.6224976999999998,2.3083215,3.020603,1.8539973,1.7149193,1.6829554,1.530989
SPAC1002.07c,1.0,1.0468938562664227,1.3072525763621634,1.64093561761755,2.070811343386663,2.125539555546723,2.0784821924719767,1.9978999600099534,1.90036343409298,1.7804221609928799,0.7834314,1.3626668,1.6023985,1.8369381,1.938045,1.9695264,0.57008547,0.5934916,0.5241418,0.43759048
SPAC1002.09c,1.0,0.9049969861816497,0.855320351893555,0.8724141031999401,0.9042010439115772,0.9235751488337084,0.9321100160114734,0.9398301171173301,0.9612712817986614,1.0188914287846023,0.7283215999999999,0.70187813,1.3548102,1.140213,0.6377363,0.36830592,0.27676165,0.23693311,0.25855392,0.2601541
SPAC1002.12c,1.0,0.902816487181767,0.869738083099052,0.9153797239753395,1.0452331294701465,1.0678342816887498,1.0617473036166833,1.1046262358623968,1.1508507188076733,1.3000288107006235,1.6085742,0.7405079000000001,1.2106649,1.4167333999999998,1.5005388000000002,1.0632077,0.8208986999999999,0.70293844,0.9055879000000001,1.0854271999999998
SPAC1002.13c,1.0,1.4385382790983232,1.33563915293023,1.1848060626213768,1.008283947986103,0.962636821028887,1.0120370384985866,0.9814680290736003,1.0829341967957327,0.8801932478046254,0.67256415,1.8489201000000002,1.4961982,0.8845968000000001,0.85480785,0.30185533,0.36146075,0.48657003,0.68151194,0.7517337
SPAC1002.15c,1.0,1.0535685542952766,1.2401762472178568,1.47370894186435,1.75302746352034,1.80133984104787,1.7074589429145535,1.453055713649203,1.3956251998602633,1.3602340496600434,0.93002033,0.9915155999999999,1.0503198,1.0730418,1.0114212,1.2884731000000003,1.1185858,1.0536212,0.92057484,0.94102335
SPAC1002.17c,1.0,0.740731385595057,0.5854684813896961,0.466230367953772,0.391166082315096,0.321337324446581,0.2791585783510567,0.257920397590659,0.23564683808741002,0.1960989268236363,3.2025827999999996,0.17427082,0.3054206,0.56502897,1.2804229999999999,6.943262599999999,5.443547,5.2013264,2.353243,1.082166
SPAC1006.04c,1.0,1.3504760786180647,2.7325006263532767,6.6434499780049165,12.557676340448793,14.021910313849835,7.813930198582249,6.476014173652236,5.715364254805376,5.058818113996394,2.4565572999999996,5.5598434999999995,10.215177,17.291292000000002,19.61267,46.32715,7.682410000000001,7.362667599999999,5.7516537,3.3425379
SPAC1006.05c,1.0,0.9031476908430681,0.8635412508478381,0.8662294567052163,0.914281244771578,0.9461775553947592,0.863052714768501,0.8224164107069499,0.8869501452162166,1.0767475054530395,1.1184119,0.44665936,0.60066766,0.7502333000000001,1.1900309,5.0765195,2.712227,1.8607745,1.9422932000000002,1.5781517
SPAC1006.06,1.0,1.42866128692125,1.2462954580191667,1.7801147064830432,3.291998528613393,5.992205460151896,4.958972089869357,2.912636925601373,1.9712604495362667,1.75912816439609,1.071248,0.7406586,0.9867136000000001,1.9665624,4.106299,15.764198,4.1485825,2.8853502,2.4858787,1.7770103
SPAC1006.09,1.0,0.844349824508238,0.6985789733547749,0.7088602840880434,0.7088782677957096,0.6799872019859957,0.5623945721050863,0.516113305856113,0.3901206392377133,0.353821520578381,1.9434228999999998,0.8433586999999999,1.0895872,1.2096248,1.1612897,1.1711645,1.1488457,0.9608952,1.0480393,1.1960389999999999
SPAC1039.02,1.0,0.7881428941723714,0.66056909403762,0.5411827505796124,0.46762343185512295,0.4767084024915363,0.49838763844915474,0.530177949491766,0.5498549855690716,0.46001290284332436,3.9393258,0.31875485,0.42029932,0.33934626,0.2135197,0.08604735,0.17312463,0.23334245,0.28105813,0.27850923
SPAC1039.06,1.0,0.8929120100584967,0.7154846001017973,0.622293212033716,0.5532774241247389,0.5194891752201588,0.5375942958345638,0.5446437525891913,0.5235815796697644,0.5303613124166607,1.7010136999999999,0.42058164,0.5699198000000001,0.5596165,0.6371806,0.689321,0.9377678,0.78683066,0.74103314,0.77476215
SPAC1039.10,1.0,0.8536112976618447,0.6456399491435577,0.5335692439157113,0.47640015663297497,0.4229455384933573,0.4522087880756696,0.45094014920338427,0.4478635617487734,0.4382527003725867,2.5633836,0.4350447,0.5650158000000001,0.71938133,0.89068127,2.6775672000000004,3.7162532999999995,2.2556990000000003,1.9382154999999999,1.5503409
SPAC1039.11c,1.0,2.579028508576968,6.796527307578472,11.214400533520994,25.470110965208434,168.51237752767912,429.62787424190407,361.2944093536446,282.6677073277615,291.7964654684788,3.0559112999999996,2.1426895,10.490272500000001,19.331787,30.948689,204.06558,338.08328,91.640625,64.14035,40.40742
SPAC105.02c,1.0,0.9175659443353886,0.9998194547421813,1.1813580785482134,1.4893904010606198,1.8653578817340735,2.18028198579628,2.340331466975233,2.2798691966161733,2.2088774754341034,1.0921068999999999,0.89487565,1.2527021,1.7682345000000002,2.6815903,6.588209,2.7887882999999998,1.5784316999999999,1.2409651000000002,0.9190287
SPAC105.03c,1.0,0.812977593844172,0.7966357913696189,0.9668862706888967,1.0051583147174268,0.8990673872769143,0.7062574497408817,0.6617280572805166,0.7210967871276163,0.8565261774441812,1.052812,0.32574179999999997,0.31370467,0.32869065,0.493381,0.45264754,0.47053793,0.35308698,0.37723249999999997,0.43644849999999996
SPAC1071.01c,1.0,0.8895872400083857,0.8550463522681803,0.8653474064783531,0.8664853878390457,0.9117784759824502,0.8141503250947265,0.7689297343672834,0.779084968117146,0.841858922701824,0.66278833,0.6859505,0.75528085,0.76774436,0.7648003999999999,0.5760805999999999,1.0541209999999999,1.0057212,1.1224774,1.1160163
SPAC1071.02,1.0,1.06154709532643,0.9593160378485107,0.8925962586628936,0.88882559596817,0.8227166683883046,0.798574771554971,0.8123691712235778,0.8583650010440117,0.893346861651056,1.0841448,0.72350025,0.54892707,0.5113199,0.64176166,0.6577464,0.6581573000000001,0.6904143,0.8320409,1.0647049
SPAC1071.04c,1.0,0.8802963833183163,0.8903711377218947,1.0194071863478384,1.2349430750167467,1.1819362521308967,1.2883390816338667,1.2396454780064534,1.1646234339388968,1.0126689180251636,0.73477143,0.6077353,0.8156831,0.9116088999999999,1.1391128000000001,0.8063965,0.4779469,0.6278925,0.6458479,0.5998414000000001
SPAC1071.05,1.0,0.9209329525145665,0.9845552442289823,0.9737578759713802,1.1753233033946966,1.2185083089526434,1.1050484372625533,1.047153542153919,1.0473672199288606,0.966764370780516,0.35099286,0.5691647,0.5748581,0.76674867,0.96816003,0.5235473,0.43822035,0.47865173,0.50851125,0.532944
