,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
507,C13G7.02c.B,,SPAC13G7.02C,1.0,0.48085076,1.8215499,2.200407,2.6473622000000003,3.2046075000000003,2.962069,0.81696314,0.8170248,0.79090255,1.0492579,1.2446108999999999
506,C13G7.02c.A,,SPAC13G7.02C,1.0,1.1390143999999998,5.8259196,7.5952934999999995,19.73755,24.382723000000002,27.602159999999998,7.9715169999999995,6.919817,9.305873,12.082448,14.4608
505,C13G7.02c,,SPAC13G7.02C,,,,,,,,,,,,
10,ade2: min10,ADE2 MIN10,SPAC144.03,1.0,0.5977842,0.5524356,0.4239643,0.33349437,0.28726476,0.17686229999999997,0.23031260000000003,0.22347581,0.2611217,0.27701384,0.33100274
3819,I21_ade2: min10,ADE2 MIN10,SPAC144.03,1.0,1.2474295,2.7547314,2.0022738,1.8187402,1.6730601999999999,2.1026561000000004,2.3134042999999997,2.3985667,3.0196085,3.6985957999999997,3.4547534
596,C14C4.09,,SPAC14C4.09,,,,,,,,,,,,
597,C14C4.09.B,,SPAC14C4.09,1.0,3.019684,0.685254,0.57585555,0.78917974,0.33332315,0.13865672,0.20039535,0.35696469999999997,0.40763837,0.39467353,0.38650534
598,C14C4.09.C,,SPAC14C4.09,1.0,2.9992428,0.66930914,0.6040477,0.84331685,0.31281048,0.13388984,0.18969859,0.3591114,0.402817,0.3749789,0.3674842
4951,tif1,TIF45 TIF1,SPAC16E8.15,1.0,0.3001765,1.893358,0.9550423000000001,0.5803759000000001,0.6739106,1.0948347,0.8010166,0.61470634,0.5356576999999999,0.5514408000000001,0.6037731
4964,tif45: tif1,TIF45 TIF1,SPAC16E8.15,1.0,0.5721039000000001,1.6091719,1.1547846000000002,0.9719853,0.8737212999999999,0.78561205,0.58124983,0.51895136,0.5021359000000001,0.5005443,0.5086236
4490,pyug7.07,,SPAC1782.01 SPAPYUG7.07,1.0,0.88689405,0.790882,0.88219047,0.9984151,1.2210408000000001,3.183591,2.229373,1.1800771,0.97046334,0.71022093,0.6269564000000001
985,C1782.01,,SPAC1782.01 SPAPYUG7.07,1.0,0.7949794,0.7302123,0.86510307,0.9940700000000001,1.2100146,3.2376688,2.1490810000000002,1.2492883,0.99800986,0.73247784,0.65797544
4602,rpl15-2,RPL15-2,SPAC1783.08C,1.0,0.21897985,1.2851371999999999,0.69592947,0.36014578,0.28762972,0.20568413,0.20437099,0.2260777,0.23932841,0.23941260000000003,0.2928138
4601,rpl15,RPL15-2,SPAC1783.08C,1.0,0.23066488,1.4128813,0.7032326999999999,0.36015759999999997,0.29391986,0.20741116,0.20042846,0.22967272,0.21690115,0.21891446,0.26559478
4341,pex7,PEX7,SPAC1834.12 SPAP17D4.01,1.0,1.8165677,0.41384375,0.40686540000000004,0.35632432,0.20863589999999999,0.2102752,0.076620355,0.07631437,0.07338753,0.06698378,0.060178145999999995
3820,I22_pex7,PEX7,SPAC1834.12 SPAP17D4.01,1.0,3.8898485000000003,1.450922,1.1411874,0.87046194,0.49601915,0.42011988,0.23846953,0.25244895,0.2897113,0.27638784,0.27689794
3828,I3_C1B2.04,COX6,SPAC1B2.04,1.0,1.3401453,1.0577618,1.0745708999999999,1.3930295,1.6149688999999998,2.1409042,1.5335397,1.602782,1.5378103,1.431284,1.3505858999999998
1347,C1B2.04,COX6,SPAC1B2.04,1.0,1.1188268999999997,0.9957584,0.992481,0.9589228999999999,1.1011865,1.9427123,1.0761862,0.78975415,0.55433434,0.43021023,0.42557308
