"","A_00","A_01","A_02","A_03","A_04","A_05","A_06","A_07","A_08","A_09","A_10","B_00","B_01","B_02","B_03","B_04","B_05","B_06","B_07","B_08","B_09","B_10","C_00","C_01","C_02","C_03","C_04","C_05","C_06","C_07","C_08","C_09","C_10"
"SPAC1002.02",1,1.45118816792172,3.73482650574446,6.18190549366116,7.60755484114977,5.21570724750421,3.43989824493897,2.59875645994832,2.18323044569568,1.81128995947771,1.39193806496259,1,1.1735307894642,2.3602434959055,4.56231526748568,6.55311871227364,6.06894624056648,4.07341629666687,3.06762739003485,2.30674976981373,1.95574370984207,1.59503403692639,1,1.55539467538533,3.67654040208883,6.03071406581068,6.63578032839152,5.15335809346951,3.21066332433475,2.51195594780116,1.85324725916857,1.52553942003756,1.3326796862494
"SPAC1002.03c",1,0.92274485803589,0.763063714414821,0.7494496715782,0.74259454705365,0.771641381831475,0.819817458005632,0.859543927517052,0.849913934549993,0.838127853881279,0.856796387437211,1,0.906560199683373,0.766272709513577,0.721653941679698,0.728083526682135,0.725927639492921,0.749579591056755,0.795608741950205,0.827795422650389,0.802026253373681,0.812340795659287,1,0.901151159014968,0.828585187325436,0.779981867633726,0.767320727791652,0.813156899810964,0.830825688073394,0.875964730079215,0.938763039587971,0.819586548537677,0.850454725187821
"SPAC1002.04c",1,1.06377430966281,1.10954124545623,1.10528889358778,1.25619574033465,1.19326855854699,0.834514069048094,0.698355043420174,0.714279613972158,0.716728082954838,0.869712158396073,1,1.07257400088359,1.00273492442678,1.13526869217936,1.30807764558547,1.3529792746114,0.982274079258158,0.764420049357501,0.767555327693754,0.769659840630623,0.864968704862783,1,0.834014471780029,0.829090323174662,0.911089189052461,1.17986766247379,1.10611574308658,0.824799633615755,0.652222725215029,0.654474425365676,0.618405013305863,0.651750655930517
"SPAC1002.07c",1,0.946288892751608,1.27067610674551,1.57781856825428,2.05952080706179,2.0794499618029,2.02675535479387,1.93447516168005,1.88678373382625,1.82079668216328,1.67092959014549,1,1.04862876254181,1.25476228589723,1.52544516882359,2.0114190402874,2.0777998674619,2.07373210931506,2.05905144673418,1.83082636520764,1.79385076607966,1.76767733715201,1,1.14576391350585,1.39631933644375,1.81954311577478,2.1414941828108,2.21936883737537,2.134959113307,2.00017327161563,1.98348020324505,1.9592890742447,1.90265955568114
"SPAC1002.09c",1,0.909058127794605,0.871594523579035,0.907030294308124,0.941866547112008,0.963464037300313,0.963832390273742,0.978117482734539,1.02663300211761,1.0432875351763,1.08281075508977,1,0.888785337061199,0.814577550003559,0.82897500905469,0.872854854702159,0.903878050706895,0.924842411508001,0.941505553270259,0.947821765777704,0.985362493542277,0.998690985251767,1,0.917147493689145,0.879788982098071,0.881237006237006,0.897881729920565,0.903383358493917,0.907655246252677,0.899867315347192,0.90935907750067,0.945885634588564,0.97517254601227
"SPAC1002.12c",1,0.883129349652028,0.854819976771196,0.955844155844156,1.07392996108949,1.07738850395238,1.10537065961793,1.15689315504883,1.1596882287443,1.18317829125048,1.3152408296501,1,0.892759974436228,0.823513559036551,0.805535876101821,0.96064446409274,1.00853995626882,1.01072912575197,1.05170095830152,1.09697105676464,1.12567488229132,1.26768305330844,1,0.932560137457045,0.930880713489409,0.984759139980042,1.10112496322821,1.11757438484505,1.06914212548015,1.10528459423684,1.19589287091408,1.1991162662248,1.31716254914333
"SPAC1002.13c",1,1.51217380270968,1.23046919811862,1.09735635946963,0.992688570106432,0.889902928731436,1.01064731932536,0.855206506139372,0.994345044961528,0.976867030965392,0.716308267663951,1,1.43297160865287,1.4676286310993,1.34611262926646,1.04398686835106,0.985099500049015,1.00039820806371,0.954865070315469,1.10768179363102,1.07085389115632,0.992689914057098,1,1.37046942593242,1.30881962957277,1.11094919912804,0.988176405500817,1.01290803430621,1.02506558810669,1.13433251076596,1.14677575179465,1.08911730545877,0.931581561692827
"SPAC1002.15c",1,1.03612003447465,1.35813246515832,1.41883844940614,1.78384503318405,1.70372851658121,1.69405977376667,1.43061145008438,1.39125311674785,1.20678956013871,1.41126751544774,1,1.01539022611233,1.16914420089023,1.4572995833595,1.69143287607985,1.86134509961225,1.59017179932377,1.43947305835031,1.39712966680048,1.34932635456043,1.25256433327335,1,1.10919540229885,1.19325207560502,1.54498879282741,1.78380448129712,1.83894590695015,1.83814525565322,1.48908263251292,1.39849281603246,1.2088403722262,1.41687030025904
"SPAC1002.17c",1,0.730358081663649,0.556641364111925,0.442450943963763,0.373246163950087,0.299440778838209,0.260135029700292,0.23901739629134,0.213744764509787,0.196634426358418,0.175616265187162,1,0.748834559204392,0.588137179122086,0.450802164049954,0.380027338205142,0.316498095363195,0.274040375319875,0.250641470180305,0.227723084193116,0.2075664034458,0.189811593251493,1,0.74300151591713,0.611626900935077,0.505437995847599,0.420224744790059,0.348073099138339,0.303300330033003,0.284102326300332,0.265472665559327,0.23975997912862,0.222868922032254
"SPAC1006.04c",1,0.737287363650855,3.51479129349183,7.95902062489245,15.6434662865702,15.1458377189905,8.06981468326666,6.94030010718114,5.75531063905431,6.35456329735034,5.26746929146669,1,1.14514841254931,1.44045016837006,4.2705140555215,8.67627435281558,11.8695842663811,6.88849022488417,5.59231651376147,5.02649047579781,4.64340125690345,4.27425716539574,1,2.16899245965403,3.24226041719794,7.7008152536008,13.3532883819606,15.0503089561779,8.48348568759592,6.8954259000141,6.36429164956401,5.30421360033375,5.63472788512675
"SPAC1006.05c",1,0.890747782002535,0.878134110787172,0.900025612567233,0.978466679042139,1.05020920502092,0.84954468530905,0.883210455764075,0.941165967324346,1.06817168564828,1.18129559283289,1,0.918443832382451,0.842756566477119,0.829577965348734,0.857225486595667,0.886274323682961,0.961536085022244,0.867419175027871,0.933596640335966,1.02616828592781,1.09152443301379,1,0.900251458144218,0.869733075279223,0.869084792199682,0.907151568676928,0.902049137480397,0.778077373974209,0.716619601328904,0.786087827988338,1.00437692800186,0.957422490512439
