,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
SPAC26A3.05,1.0,0.9266737280060591,0.9098901981629219,0.9007148635744153,0.8901348041227389,0.8865162138642564,0.8774092878631486,0.9410372500932845,0.9674471034861719,1.0129053213446053
SPAC26A3.08,1.0,0.9590462930485529,0.980075682429152,0.9624270620258809,0.9270150034235116,0.9344862155440351,0.9186578054971125,0.8305767881965207,0.8250895694960757,0.9169113824011726
SPAC26A3.09c,1.0,1.0092747045289334,1.0900953347960167,1.0983810238679899,1.025122751042481,0.933625653129016,0.7764523540685476,0.8817099712644317,1.0229066890677572,0.8039830116533325
SPAC26A3.11,1.0,0.9383122438280216,0.8017565947315127,0.7219501639432249,0.6728633467262363,0.6437399969419927,0.6587969459820997,0.6747968012059857,0.6585528267940842,0.6712691083239282
SPAC26A3.12c,1.0,1.0798363251299132,1.0301050196951251,0.897864187678744,0.8718337109088536,0.7706791775612767,0.617244028257408,0.5677663842496293,0.5961414109631454,0.7031490632097034
SPAC26A3.15c,1.0,0.9919935837450717,0.9998341708629358,1.005479990320393,1.02223286972459,1.0329414497164633,0.8959442940092384,0.8047585055295271,0.811097217426787,0.839809698238685
SPAC26A3.17c,1.0,1.020446508979048,0.9552008688589386,0.7905411604512741,0.7339782504869734,0.6829269968050621,0.6950802583665471,0.7162744584212085,0.7612012576863577,0.719554206898434
SPAC26F1.01,1.0,1.0143187557057693,0.8483589897385734,0.93037113169966,1.1134009341597366,1.2909346804059767,1.5467365312469499,1.4362960540919332,1.3788946228825765,1.44688558382507
SPAC26F1.03,1.0,0.9990712664740916,0.9316931568254075,0.9233536109447084,0.9482690781314367,0.9759577277350893,0.991297932794013,0.9934941889394562,1.02957920645997,1.0906308400559832
SPAC26F1.04c,1.0,0.9906201356393943,1.019678967327006,1.20997630157813,1.5628627394755534,1.77492697944395,1.8784893288115534,1.9592586205896503,2.03973479111281,2.24681868443025
SPAC26F1.06,1.0,0.9036947695275748,0.9394205975417252,1.0125685405346385,1.0884415251824333,1.1116340972499235,1.1489256752786234,1.14903906557581,1.15546686510513,1.1099078493558567
SPAC26F1.07,1.0,0.9741989243840999,1.1435533610490582,1.4601986283235833,1.6870229033990902,1.6491158015223168,1.7111905021835234,1.7419671984826899,1.7818118434869765,1.8721640574861098
SPAC26F1.09,1.0,1.0803201808586567,1.1998910382778967,1.5571349355067465,2.127406530492127,2.2093396851726865,2.077307974925523,1.9565085416238466,1.7312552808611967,1.4117899498938133
