"","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10"
"CON__P00761",62.7032972197979,14.3962674574667,57.9745905469818,34.7966526977141,24.9989534855576,38.2552149281234,37.618278840279,43.7869144721459,42.0885497294257,21.9973695098616,29.9693798477942
"CON__P04264",6.84420801205642,7.31570128618842,9.00956383993793,7.07757430745762,3.47249709025947,6.15419844353798,6.18807957583807,5.59190504402842,4.69872418473516,5.56516151256544,6.58590045241143
"CON__P13645",5.56562741101378,7.00461341822522,9.07460241596932,3.96423687748887,5.7102772159619,7.82847236534219,3.95072010635799,4.17502815317186,4.71154449721762,3.00703475064969,5.98284324927488
"CON__P15636",13.63470630165,9.46688213378237,7.69367312877695,9.90748997380629,15.262445508816,11.852809361613,16.4479405440762,14.8473426007503,13.9202791084298,14.6656483175247,16.0757550287274
"CON__P35527",6.98729776708368,4.17677278923264,3.48886808278842,2.50568371053892,4.2401351722544,2.96632720177038,5.9631637994657,3.15496773008241,2.44915249893711,3.62054075133923,4.03870448634977
"REV__CON__P19012",1.1975055171221,1.09929299118075,0.958423448438945,1.06308084681152,1.02373035608798,0.989717295735266,1.04137131140789,1.02150554935494,1.02782217481352,1.07200603836644,1.05914901477765
"REV__SPAC17H9.01",1.24152088308986,1.34531423742027,1.15995493116172,1.13144891602002,1.01457855453472,0.975605476518562,0.880925486120576,0.930840532478484,0.98275849933348,0.878860345877927,0.891032323162861
"REV__SPAC27F1.04c",1.05050602559003,1.15343385405462,1.23695066519137,1.15822579202151,1.0710591014397,1.05875317848164,1.04814006956761,1.02524443439963,1.05677337944744,0.985528517735115,0.95797707377934
"REV__SPAC31F12.01",1.27412281204551,1.16146282560804,1.12918871559593,1.19419683740627,1.29557949992969,1.26420118536526,1.27453123806985,1.24259626727842,1.27634048485554,1.25189410165481,1.21389101697689
"REV__SPAC688.10",0.879240759611881,1.14966973901468,1.15953722542296,1.12572306371813,0.974394796394313,0.946875162852263,1.0135639598926,0.975323281229284,0.993354726878755,0.946893482382735,1.03379866007097
"REV__SPBC1703.14c",0.85827404570115,0.909831827899766,0.877719971846724,1.03358357106999,0.905175840020188,1.58758347417469,0.940179566795551,1.0020545771587,0.852218898295829,0.772317448397505,0.854100397237555
"REV__SPBC1778.06c",1.08931727112238,1.0019463118609,0.97057781090517,0.977042610080733,1.02590528363407,0.879822545664222,1.03044265777736,0.994677659463785,1.04517437209548,0.979820621110739,1.08522120313731
"REV__SPCC970.10c",0.932633786857131,1.05792742721725,0.94599253593392,0.942637065933142,0.862726479170264,0.735611190798797,0.819712237657636,0.907292021915514,0.939567210385669,1.072411216236,0.906576371692331
"SPAC1002.01",0.559502173117165,0.797365236577612,0.714319868658475,0.908647589688014,0.979912974286338,1.14992207780609,1.08823517002614,1.05688323258346,1.17617903704254,1.17278568039839,1.21707967823561
"SPAC1002.02",0.294817687010846,0.409764415354621,0.965734011444289,1.71349005082027,2.12649652185628,1.71460667350835,1.10361857961091,0.844586590649688,0.630046283936427,0.522151825966124,0.423492090526142
"SPAC1002.03c",1.1999344454626,1.09827980476255,0.951916289464673,0.900738146609241,0.901140772379531,0.933985763805838,0.973173105655982,1.0178336552091,1.0541681216102,1.01223397936935,0.996403387684072
"SPAC1002.04c",1.22888176049231,1.18384939284372,1.14661269364748,1.28337860199266,1.49767753562486,1.40686419238631,1.09026187522946,0.863793932655104,0.894848790700664,0.953120578043419,0.997622127583924
"SPAC1002.07c",0.626057534813319,0.687942825433693,0.815416847605461,1.01553982611522,1.29338738749319,1.31678551394956,1.29964053105932,1.25153292484254,1.19719666416125,1.15314172407496,1.1055922365484
