"","WT4_T00","WT4_T01","WT4_T02","WT4_T03","WT4_T04","WT4_T05","WT4_T06","WT4_T07","WT4_T08","WT4_T09","WT4_T10","WT5_T00","WT5_T01","WT5_T02","WT5_T03","WT5_T04","WT5_T05","WT5_T06","WT5_T07","WT5_T08","WT5_T09","WT5_T10","WT7_T00","WT7_T01","WT7_T02","WT7_T03","WT7_T04","WT7_T05","WT7_T06","WT7_T07","WT7_T08","WT7_T09","WT7_T10"
"CON__P00761",13.1502814160223,9.40733772342427,24.6578720256442,10.2647273175188,15.7096850208153,28.3302170094623,15.5118122450246,9.48496632836953,22.4305773630613,7.53522718709969,9.01550667147494,45.6704420898794,10.4833890700186,37.4616018580955,23.8561000047712,12.8554532832828,15.3268449689631,38.1854284405071,54.7075879424476,85.2587603376247,47.7349754164877,50.5178075271533,129.289168153492,23.2980755789572,111.804297757206,70.2691307708524,46.4317221525746,71.1085828059447,59.1575958353053,67.1681891456206,18.576311487591,10.7219059259974,30.3748253447543
"CON__P04264",5.61072771138417,8.14199641752158,11.3129850442338,7.44601638123604,4.23208768885691,8.69036238811158,5.36711034778875,6.33312222925902,3.21347086988656,4.68186712861089,5.63793200654,3.99424828247324,6.12107486074555,8.71535645807914,8.25695648583932,3.10231432648756,4.22315131551164,5.13716223158327,5.86132114178536,8.01860315932965,5.39811066126856,11.2996903884834,10.9276480423119,7.68403258029814,7.00035001750087,5.5297500552975,3.08308925543394,5.54908162699073,8.05996614814218,4.58127176104087,2.86409852498926,6.61550674781688,2.82007896221094
"CON__P13645",3.16355583676052,3.93762797290912,7.5046904315197,3.45697790991116,6.60589245607082,1.88196326407708,0.88944231966557,6.8927488282327,0.56170308374993,1.76019150883616,4.5911574307883,10.0030009002701,9.61630926050582,9.28418902608857,0.705367849333427,4.74158368895211,5.53893873933754,6.34719136781974,3.39454835534132,4.64037122969838,1.06589353855337,6.1667488899852,3.53032549601073,7.45990302126072,10.4349277902997,7.73036487322202,5.78335550286276,16.0645150926119,4.61552663158866,2.23778727594155,8.93255917820456,6.19501920455953,7.19062342705113
"CON__P15636",20.1560074980348,6.9666991779295,4.82811896485129,13.6143331699613,16.8087001832148,9.4553706505295,12.8787976354528,21.5591583304588,14.0281966753174,7.66342248448157,11.8203309692671,7.51201923076923,10.4462644158449,10.7493362284879,10.3361309794518,11.3773408878877,16.2702157430608,11.4962349830431,13.0867784277544,10.3977125032493,13.911495068375,11.4250459858101,13.2360921761459,10.9876828075727,7.50356419299167,5.77200577200577,17.6012954553455,9.83284169124877,24.9687890137328,9.89609104403761,17.3349281467228,22.4220273997175,24.9818881311049
"CON__P35527",6.65690320862735,3.57372596669287,3.2863386900654,3.20358801858081,1.6799946240172,1.94110681910826,2.87282024763711,3.75333108133468,4.18602704173469,2.4904119141306,4.25423296179699,5.16422226812642,6.08013619505077,6.84931506849315,3.37792190244562,7.23798494499131,3.37826424782947,4.25495702493405,1.34609430736717,2.08485353903888,2.83165793572136,4.58190148911798,9.14076782449726,2.87645620595426,0.330950489806725,0.935541210590327,3.80242594775467,3.57961053837343,10.761714125826,4.36547780154538,1.07657691603777,5.53955240416574,3.27997900813435
"REV__CON__P19012",1.19645848289064,1.20318121112221,1.05466319330922,1.10359440698355,1.01234042983975,1.02248443267451,1.11723105455439,1.02531502804237,1.09805644010102,1.06070409537851,0.957120980091884,1.39625802848366,1.23831341712587,1.02277724934287,1.21396054628225,1.09397221310579,1.14170890989633,1.12938200216841,1.11490177715343,1.12777715123492,1.14521300961979,1.26749138105861,0.999800039992002,0.856384345294168,0.797829902664752,0.871687587168759,0.96487842531841,0.804958544634951,0.877500877500878,0.924299842869027,0.857632933104631,1.01010101010101,0.952834683182468
"REV__SPAC17H9.01",1.70840878805481,1.00496452475228,0.968804495252858,1.07763265658002,0.982607841210573,0.912741876597298,0.857191839533688,0.905387052965143,0.902527075812274,0.967211529161428,0.922764602749838,1.16254737380548,1.55685639556607,1.35788387377112,1.09751413049443,1.08722832882134,0.915499404925387,0.853096741170449,0.980680592331078,1.03199174406605,0.827335153470671,0.788146279949559,0.853606487409304,1.47412179194245,1.15317642446118,1.2191999609856,0.973899493572263,1.098575148033,0.93248787765759,0.906453952139231,1.01375667812212,0.842034355001684,0.962186086789185
"REV__SPAC27F1.04c",0.93257483913084,1.15434785118148,1.22354092744402,1.14772349045668,1.02914539766178,1.06627996246695,1.03167234086454,0.870625108828139,1.02621991892863,0.936241924913398,0.933096948772977,1.06350168565017,1.06744091714524,1.27568919108548,1.22746075194246,1.14121379499235,1.0205956196036,1.06409014971748,1.14022485234088,1.00760743614288,1.15160937410031,1.00160256410256,1.15544155198909,1.23851279383716,1.21162187704461,1.09949313366538,1.04281811166496,1.08938395337437,1.04865771812081,1.06488334202988,1.13649278327083,0.868734254191643,0.939231708462478
"REV__SPAC31F12.01",1.36909407045358,1.24789417857366,1.24012550070067,1.2639029322548,1.34691018802866,1.2710194847287,1.26412661492175,1.29844835421671,1.33194810730174,1.31540869748231,1.13199003848766,1.33732748475447,1.20707345041946,1.1119759813188,1.18815645644218,1.27055116509542,1.22721973369332,1.2746485156718,1.1922219440371,1.21360696124953,1.22434987021891,1.27186009538951,1.11594688092847,1.02942084783101,1.03546466476831,1.13053112352183,1.26927714666497,1.29436433767377,1.28481858361599,1.23711850358146,1.28346638601535,1.2159237372632,1.23782291705349
"REV__SPAC688.10",0.565834889379279,1.33184167066219,1.12593593424534,1.18517113871243,1.0242963084361,0.901875901875902,1.05868278687657,1.03094909173385,1.00120144173008,0.991080277502478,1.30074532707241,1.04387402528263,1.07199519746152,1.27026065748692,1.11503852458102,1.13640237735377,1.03963072316713,1.02953742883323,0.954198473282443,1.05310824899691,0.938438438438438,0.922764602749838,1.02801336417373,1.04517234892034,1.08241508453662,1.07695952786094,0.762485703393061,0.899118863513756,0.952471663967997,0.940822278671559,0.925754489909276,0.911161731207289,0.877886050390659
