	pat1_exp_ribo	pat1_0h_ribo	pat1_1h_ribo	pat1_3h_ribo	pat1_5h_ribo	pat1_7h_ribo	pat1_10h_ribo	pat1_exp_mRNA	pat1_0h_mRNA	pat1_1h_mRNA	pat1_3h_mRNA	pat1_5h_mRNA	pat1_7h_mRNA	pat1_10h_mRNA
SPBC337.03	22.9254197843235	59.8184498779151	8.29675235667287	119.440621223021	31.7428990366104	8.12810647624688	8.34252094475343	14.6326016993417	9.70756083766078	22.316031245713	27.1096012191333	5.06758655035611	5.53637388563808	5.42056605912038
SPAC1B3.15c	11.1641132443701	14.9187002513971	3.46752819137065	21.5111574155508	12.437911953366	22.8078969141814	13.5538254912081	15.8019483002934	5.01383991819947	2.83035611543102	24.4995547257467	0.971047979936795	28.3917395140728	18.4525412303519
SPBCPT2R1.10	27.763146627283	60.2659635867143	24.7300746942238	12.7676859008282	2.05561057739923	1.06221205425736	5.12519638043607	3.55611249803436	6.04383985730532	7.94904984906841	2.94647035868794	0.213955654478349	2.20697616267355	15.9755074828784
SPBC21B10.13c	5.8255233232749	37.6569823532411	115.101521718678	84.1599015652085	4.01854270553197	45.7873665620799	13.210130461748	17.3505747672237	13.8823740691969	41.5541213206387	240.125592137123	0.69288418213306	29.2186609551153	34.2296195317493
SPAC19E9.03	15.1173202255553	62.0778351891285	44.578471333616	11.4248128640676	2.35696463122425	34.7786435437666	5.43582651387163	56.4806832950054	89.3564033607776	36.8155607782201	30.7343721382046	0.756267416956535	16.4205315088181	48.105335668893
SPBP35G2.09	31.0730854930846	84.2063208566923	237.980983548074	195.41227252315	81.2279962199883	95.6395203665314	5.65871608136955	32.722739775246	84.2088530903169	31.7076374917085	252.83880436362	10.9010531401334	12.2793045972556	11.738322857325
SPBC27B12.04c	22.1704011965004	28.1575863649693	22.2523616807379	35.6148325576885	58.5060436314106	11.7957431061743	2.39544803814765	11.4911385481843	29.5847688240838	2.99223948428728	19.191877004348	12.8897739401824	2.36450587762471	15.5468803397643
SPBP8B7.05c	1342.7344729867	122.529145334853	2351.34829732294	1845.51003004852	244.177144251155	85.2234910410118	84.2881860893361	332.436741069482	224.319698108838	192.28905161408	872.402189573752	72.2437443199423	13.1624956560062	150.530517070186
SPAC1F7.08	523.364971821728	18.5107641376256	60.0099078212358	546.350906932004	35.9480013754973	39.5231960373825	15.4281792378458	18.2600454366196	3.99243807668357	1.25032979025457	7.64163370482122	1.25576959636491	1.57261361482053	7.01762059935876
SPAC644.15	4184.35862053858	255.749853091749	6627.52038051943	3891.30479789042	73.6007215583673	606.182725160651	631.646978623592	806.056689485752	1102.00619524268	1836.62023245578	1094.19069265565	39.0566013097611	110.470042659494	243.731554521223
SPAC1486.07c	81.8700081809191	58.0187491455833	97.6340066269471	473.003789677588	30.8882993430645	45.2273528835049	38.7443880057925	16.5557356462514	40.1821828183833	121.193502889011	67.397431692387	37.3216379728114	25.0143284075805	15.4973291660628
SPCC1753.02c	22.5967734734515	23.6886226372083	8.11992040164893	3.14724094095493	5.00399627503514	42.6550950669234	26.2456812618281	2.39764636082178	12.1703871101863	7.40297975338988	2.92299061076023	2.42594066280343	25.4723946184267	14.8228647114082
SPBC1A4.04	136.59709747352	157.8871671798	181.200803371068	336.603856765859	113.89023828268	471.893675613546	117.580926316104	9.65904723624666	18.5418209521576	29.2075341356539	8.67768151382995	6.12076822639149	109.765831236331	21.0874625103278
SPAP14E8.03	118.562100332948	161.140283973713	40.8872751802307	755.733400175278	1626.71071123843	84.1129230173476	75.6712032424368	55.3283031206832	61.8908168648058	28.2646456088272	134.006739054995	199.602746244154	110.50065990773	16.3092020304935
SPBC13G1.05	7.70969709680184	20.0601200586133	4.52186891228271	67.5974976112608	75.4598535792952	3.40353961531667	3.73488251273922	8.73453787183239	6.73434272360688	8.74187625262498	12.2762630799221	9.07487857164526	2.78298043227271	3.95469680912593
SPAC20G8.02	16.3049077784931	20.7323788023297	9.04328203522359	80.3262948329958	87.3859040266498	50.9626375421279	28.5505124066883	11.9724641175929	4.34685496264483	4.27031416523232	47.7935817244523	4.29754963578639	57.8288450564285	32.2991746040727
SPCC18.09c	17.47608668565	169.549159721506	72.3858844293365	131.403051972347	39.7888573304698	86.5877494458706	58.6085865419454	44.7693663555803	30.3352430531135	49.7242073550214	103.864123297279	3.63632670335038	95.1620243884083	105.58918948731
SPCC970.02	0.106253275205366	1.82669178499552	1.22056323543248	0.689378253216111	212.556419162717	666.055908319083	103.034938249342	13.526196238948	13.8910786624245	10.4637818098722	74.7613042937423	21.9580160468528	319.756364998036	232.658065390185
SPAC869.02c	122.794295907962	148.11605895087	14.6405601168876	7.14851608043756	12.856838149433	77.0637334259028	9.51385086725962	285.754693716196	105.507282537199	5.25026333352434	12.1511560466217	2.00198820583586	29.8570621035746	51.1814272939715
SPBC4B4.06	12.8350609396306	45.5572998648452	44.4514019225338	36.9787568255389	136.624295428507	30.6923965986421	6.41866751619016	18.3914662419856	32.2582355460247	11.5679777868175	106.080395287654	49.4601499325092	15.1616269545668	14.7747011522479
SPBC543.05c	32.2095698267762	59.6482630942068	24.445098978267	78.1962979364302	37.9717456473075	32.7235545986611	3.51257511530644	34.6044549575929	84.6778336114212	10.2682160020798	69.9869847566379	26.09601702586	9.23651652245933	41.2663483541451
SPBC1718.04	112.381185581225	52.8567598486709	194.931027596916	520.721726068224	18.0749636810403	23.0800064714733	10.1402481985682	20.0155593441006	64.0380743681198	13.1473749558331	139.696320915387	1.91782082845545	4.45635297701076	23.46272234455
