,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA,mRNA
,d1,d2,d3,d4,d5,d6,d7,d8,d10
SPAC11H11.06,-0.8847504013573968,0.23601574283862914,-0.2492312494349691,-0.6930871127310396,0.19067870522363206,1.0348791700526156,-0.2733546620994244,-0.04334608086954794,-0.008316744891851413
SPAC1250.03,-0.305897110023155,0.11026840372222524,0.4809929772099998,0.35756103800637723,1.11730838408389,-1.1939708792082817,-0.25520406118602884,-0.24145521242170018,-0.12372819480775864
SPAC1250.05,3.510046046629042,-0.8893744372486895,-1.0763958574848327,0.10800924099961251,-0.5508732942040733,-1.120263591541911,0.3579174383330612,0.10459441283319193,-0.05691102055854236
SPAC1296.01c,0.09887243251836947,-0.12335265839406856,-0.6082526720292052,-0.9385446118306374,-0.4228710079748388,0.7458388143129137,-0.007157708671121088,0.04491031923367361,0.1601715319164696
SPAC1296.02,-0.4926307037698945,0.09656203483720929,-0.12912933176592725,0.11524070945006487,0.47751524528497147,-1.4295098721379036,-0.005075253622657483,-0.2534782425941384,0.03459335668217345
SPAC1296.03c,-0.34231726507124005,0.09152840255030845,0.6524120876850217,0.6127361180374074,0.8446589174411745,-2.0444587833076002,0.22962748213674303,0.01782911070957449,-0.26553570946031724
SPAC1296.05c,-0.10325270597850864,-0.10119229419367215,-0.2743317767498652,0.16355445421450598,0.2771446092043606,-0.7008950198387811,0.2166934605521761,-0.09702252348026175,-0.036837999062056204
SPAC1296.06,-0.8768599693568777,0.2381220863748723,0.03585030107267101,-0.2425547129441939,-0.7418661823249559,1.1353101156151633,-0.5809364032274524,-0.09165838566770312,0.14685981067876752
SPAC12B10.01c,-0.809134289446597,0.5658898340554092,0.5897956471937768,0.4595611772473466,1.5281387883903232,-1.8418936657493012,-0.48579967756891684,-0.2322637452919996,-0.03086840794055623
SPAC12B10.02c,-0.0023302616885602923,-0.30156797528942647,-0.2734485509187833,0.0052953521836049955,0.22575944913713775,0.9363313875988338,-0.4749973605795339,-0.11268967539096209,-0.15987975162028525
SPAC12B10.03,-0.3871869494979175,0.06663893838808724,0.06942649198574571,0.028448368988926984,0.4237654952338116,-0.1110864567927558,-0.1279536257085515,0.05992182968735249,0.020025280728568517
SPAC12B10.04,-0.25283774519632296,-0.4411831834140477,-0.0786694310560836,0.17286468055745963,0.2137810383216276,0.581166068788645,-0.21574929735338383,-0.060366379006259574,-0.02847669123327451
SPAC12B10.07,-0.6411876246495571,-0.12855536675771262,-0.42383162096837546,-0.7939336001973978,-0.45459087830953226,2.4309219367884287,0.25119886570247507,-0.3626984324309537,-0.3833117283897384
SPAC12B10.10,-0.2710499665182379,0.003020720463958723,0.7372423131941144,0.5494132357973572,0.30726337488241895,0.11851455428924007,-0.7016067456037787,-0.23863103283943088,-0.3741196793861222
SPAC12B10.13,-1.1448250554691477,0.5297662707450158,0.56491349904128,0.35794454396399034,0.7526094072648641,-0.7606959430449485,-0.3347473536571708,-0.177291586777649,-0.03864858115663128
SPAC12B10.16c,-0.42063380150312457,0.9727127402049284,0.7452341477872813,0.3865380714853226,1.3091396764333423,0.11936426639470099,-0.8699921414314846,-0.7273618853768644,-0.7252939546847603
SPAC12G12.01c,0.1532426645857748,0.09021400943859464,0.11761395149269827,0.266579365102059,0.42140538130383887,-0.6099870083307124,-0.5731350908605587,-0.11118677445723033,-0.021778033812712483
SPAC12G12.02,0.45708733879582925,-0.45710575489639665,-0.37615285084311284,-0.4168401826858289,-0.24331665219306986,0.6995789248008771,0.12384771967254171,0.05642416015314977,0.03966560765353877
SPAC12G12.03,-1.3817071013269104,0.3529791508778891,-0.37483029211540375,0.07058138585993867,0.7437431340844383,0.3570799608556835,-0.4222726678951618,0.024375536876764914,0.30630450860849845
SPAC12G12.04,1.7208609242909187,-0.3254368368132359,-0.07746061593111431,-0.18953606030111614,-0.2788508798844105,-0.8952262771502695,-0.05488887392760167,0.2548593175490024,0.16385096834935764
SPAC12G12.05c,0.1281536010029005,-0.3847485646275768,0.19284634515618027,1.3874879256863524,2.7403029811034023,-1.9132838848202165,-0.010129410928859883,0.03120395734940251,-0.23346967099005145
SPAC12G12.06c,-0.15206917730215752,-0.09257732763699289,-0.6357830415936936,-0.3687494360759491,1.7917571459080017,0.3515766004427512,0.24245258759380317,-0.3812162753941614,-0.2290173115335997
SPAC12G12.07c,0.9995375871883801,0.10797753211605154,0.18509628818909823,-0.12214546669835386,0.6139302198547655,0.12129106872295681,-0.05214487794308431,-0.47466392767338306,-0.5650671704234117
SPAC12G12.08,0.6190742159665703,0.0777703638022853,0.08492590157978291,-0.0652315965325358,-0.01965059519896878,0.07702953834209442,-0.3537589615316746,-0.098362722064647,-0.007242175054576611
SPAC12G12.09,-0.7337104828221783,0.26903654161639123,0.21491690182747297,0.26103324985880905,1.5716091763380335,-0.17634364509462652,-0.10045342496142018,-0.22436771215826734,-0.09968847580539952
SPAC12G12.11c,-0.6631305947466669,0.2610420063936577,0.28803320130322974,0.19706118526091976,-0.32433828328762326,-0.7576660641175247,-0.09897569927066066,0.002008587001577855,0.012963287858815509
SPAC12G12.12,-0.9161340859575106,0.6920654160096843,0.26039417741641113,-0.1342053300481283,-0.6072043796281853,0.7430187823762328,0.1124841962944243,0.09861662283523387,0.05968668790617859
SPAC12G12.13c,0.4139633795858303,-0.4331891419899654,-0.40471481712854607,-0.3834173192688426,-0.7869774908936467,1.4780448805242605,0.3696311583046163,0.1273958653807484,0.035848956343374976
SPAC12G12.14c,0.6959882662300028,0.22684913000734275,0.05947751346003094,-0.725709667199846,-1.511528729941243,0.5908934964889166,0.6112959008650938,0.11708889406774146,-0.057613179263955545
SPAC12G12.15,-0.06612371813427517,0.24520547119481387,0.14051382397139817,0.030597189633631228,-0.08872755185463688,-0.4340776229366446,-0.10387730685028632,0.09431322202735043,-0.11964625862651801
SPAC1327.01c,-0.1806122219198296,-0.03394269529505173,-0.0053208804834683765,0.10157936799499528,0.6130619428617303,-0.7963001385375461,0.4215048210422817,0.35909332582334846,0.3798590194467344
SPAC139.01c,0.7204962725719791,-0.023121860517219622,0.28362555672256373,0.24725746265630988,1.2038873973513815,-1.3360589825732558,-0.3697707879362315,-0.21585916841115121,-0.23612832171286163
SPAC139.02c,1.504221301230333,-0.5215897540853948,-1.2144109697100096,-1.2244984383887119,0.8209988033629239,0.7732738720673384,0.28853640916861956,-0.14004847027137113,-0.09257900257326734
SPAC139.04c,-0.7994812626618382,-0.14710418030958086,0.07121051119069713,0.16162430232961308,1.0954661158497132,-0.23970167297824096,-0.397022653685356,-0.032624498372263444,-0.08716196567006473
SPAC139.05,-0.4546701505015226,-0.38164110101023974,0.22231072281441033,0.7031682499199812,-0.7513156151419786,0.4187275876456882,0.5261482417795849,1.0820501081199334,2.032338319216964
SPAC139.06,0.9158944944559766,-0.5431816382126888,0.08966078962601887,-0.12661338137276035,0.11844894290477248,-0.972926698916217,0.26046545849277536,-0.0176326043341013,0.14200254368502496
SPAC1399.04c,-0.34671366997805,-0.011914217135535088,-0.6475408019821355,-0.7933387477284733,0.004638157926309838,1.277014618553646,0.22383856671475322,0.05848636341519997,0.1150280108115097
SPAC13A11.01c,0.5005866341600003,-0.006582566365135045,0.15782677339696322,-0.21840953585922024,-0.08614967816126556,-0.4621442092449654,0.1268739903792166,0.04892484422014649,0.005240228315811574
SPAC13A11.02c,-1.7233632854649188,0.7668102882497017,0.08706437063243633,0.05578795108601187,0.3189451615062479,-0.18793075213467342,-0.1974759535993178,-0.05563642923243284,0.11529534924751916
SPAC13A11.05,0.13132055842916412,0.2214324570203279,0.12641800809300388,0.020062618630931398,0.733756247885671,-0.8422640049546051,-0.6836826259534068,-0.18844942478973703,-0.25061371976236857
SPAC13A11.06,-0.9322012415124308,0.3693173890693555,-0.07352786702131608,0.028109644800445976,1.2665301432142568,1.3877275343289575,1.097283063333689,2.049060416816885,1.1901907841457122
SPAC13C5.01c,-1.1155382489818324,-0.012521011348795057,0.21762855598794087,-0.5120894466233595,-0.8946938197174581,-0.23884498952364863,0.32448156693029784,-0.1193678113158827,0.05520224732687029
SPAC13C5.05c,0.21251691974616335,0.5304880063252542,0.7798528214126633,0.7002748225627005,1.9355185875519658,-1.7582784282365607,-0.8012774975149275,-0.42873326076811424,-0.7136438864805781
SPAC13C5.07,1.267272365154331,-0.06616620879126711,-0.3758695907648434,-1.7612520298797474,-0.3691659711688068,0.9304368793130152,0.21470670642038747,0.2206666982690475,0.17616209480606473
SPAC13D6.02c,0.8883650297816759,-0.9841014693270076,-0.6504571681047149,0.2795471619963812,0.11876374259527722,1.3015539192935122,-0.13204656697147066,0.031311419765876924,0.5568199833231191
SPAC13D6.03c,0.006709430290777196,-0.12093487891624323,0.14424563991189565,0.06317793008398988,-0.1819262345191116,-0.18528004543635712,0.18314844469583957,0.04309474283347352,0.04524260429219843
SPAC13D6.04c,-0.8791455589186999,-0.09568447952554843,0.23038045196089468,0.06971585781691247,-0.30780289170031677,0.7326431491450208,0.16270457823758994,0.021212037512127635,0.2860510626185225
SPAC13D6.05,-0.33882621362141746,0.3004957075982895,0.36373287406787164,0.0609044943554492,-0.1048501891810951,0.2792373504698913,-0.33160773937864574,0.033141336712675856,0.11704015062316142
SPAC13F5.01c,0.8804470366855268,-0.07834486503421612,0.25143764714672134,0.29738795877860413,-0.2679358931622733,-1.158590413162453,0.005891825739290257,-0.10293803183722412,-0.2146585359734372
SPAC13F5.02c,0.5837001563722426,0.1090490889163922,-0.26706296537553664,-0.8530310763071305,-1.0779911986216053,1.3462752316475157,-0.0156864024882154,0.059465850234693,0.035919008307013445
SPAC13F5.03c,-0.11025182318795096,1.1401596588118807,0.19758188020581202,1.2055977565690554,2.0001766832638275,0.7183715982473053,-0.18130451084853405,-1.040084910625831,-0.770292519869987
SPAC13F5.04c,-0.5930649952333485,0.07018762857956218,0.22477863775983217,0.36277072585243925,1.0980540103653833,-0.8017557268676201,0.37665265366309875,-0.02181886852622239,0.09326372111223735
SPAC13F5.05,1.8175785221261074,-0.3614092474475967,0.24224855770986198,0.060883875643652496,-0.6172745923323821,0.5699807802892805,0.3993263296467988,-0.15405907586432077,-0.0921145689381212
SPAC13F5.06c,0.8795254307993198,0.1278568797841979,0.22507624324057285,-0.11156643633630658,0.33676700378121593,-1.0868596209901489,0.05350671289221906,0.07714741444582918,-0.15655442872624736
SPAC13G6.02c,3.0422411803242007,-0.9573593755667265,-0.8670681866081097,-0.04719445147558221,-0.17658465737137918,-0.5761660688960386,-0.26179518464293894,0.009094425186980448,0.04822943946730529
SPAC13G6.03,-0.8070128645542103,0.3486104616334875,0.23285376593581808,0.9411770149191793,1.527839294177793,-2.3124898120082316,-0.11128949604080629,0.04492335595894814,-0.3302721204718587
SPAC13G6.04,0.5325927802729136,-0.20566460700645683,0.03749455678166025,0.22681056441334457,0.18419622329367485,-0.7553739232479775,-0.07776283736329592,-0.10148544813641203,-0.0779124435882308
SPAC13G6.05c,-0.6520369078266943,0.1424581940655351,0.23008875703895,0.2753544014398933,-0.4118002444721166,-0.38432292681217783,-0.13477365318421486,0.062700193714463,-0.033605049473042214
SPAC13G6.06c,0.15896661424551684,0.10154737176448392,0.024996549600027063,-0.40180023224014794,-0.4215224688122088,-0.45619045186644014,0.06486589575137458,0.264916896140144,0.053702019137998214
SPAC13G6.07c,2.946521230458956,-1.0255922203621834,-1.0466285467042689,-0.1751588079705777,0.2876666742915579,-0.5048293917660569,0.03925987256081398,0.012706266117756382,-0.03792911369297802
SPAC13G6.09,0.6274863584661022,-0.3324578728532499,-0.012588055192786884,-0.03773454682549432,-0.4919625013891017,-0.42315768495648975,-0.06318722167000879,-0.21223722343801332,-0.07175009877718708
SPAC13G6.10c,1.0246383234824648,-0.6011352487905472,-1.593601661602531,-1.0713084328815237,-0.26871147001160534,1.3045438437287236,0.4442448514206938,-0.12623771195401345,0.03569613733186561
SPAC13G6.11c,0.01648241426886432,0.1824895819330427,0.05615422997283323,-0.2168446651272982,-0.7936500122560315,0.12328050416763414,-0.14344835870291317,-0.1671995699222273,0.0014087405498377503
SPAC13G6.14,0.8203178328363299,-0.36325736723637486,-0.3964600671030795,-0.2747990192618296,-1.086138609602168,1.4190865875026555,0.29034244975861656,0.050313517509266936,0.08571173758041667
SPAC13G7.01c,-1.2685563436093383,0.019978052568587534,-0.14469880712563143,0.23396516618344165,0.7913954529262133,-0.12425298451496236,-0.10060313817594241,0.24623848099179407,0.11568793509363484
SPAC13G7.02c,2.2391087219564816,0.35716621672682836,1.1923060897820434,0.3014792008420377,0.1478383143278359,-1.7981585791465204,-0.18386891603238054,0.3840779558945484,0.3791597090556107
