,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,0.559502173117165,0.7973652365776127,0.714319868658475,0.9086475896880137,0.9799129742863393,1.14992207780609,1.088235170026139,1.056883232583457,1.1761790370425433,1.2170796782356101
SPAC1002.02,0.2948176870108463,0.409764415354621,0.9657340114442912,1.7134900508202733,2.12649652185628,1.7146066735083467,1.1036185796109155,0.8445865906496873,0.6300462839364266,0.4234920905261417
SPAC1002.03c,1.1999344454626035,1.0982798047625535,0.9519162894646725,0.9007381466092407,0.9011407723795314,0.9339857638058381,0.9731731056559817,1.0178336552091067,1.0541681216102032,0.996403387684072
SPAC1002.04c,1.2288817604923132,1.18384939284372,1.1466126936474834,1.2833786019926599,1.4976775356248568,1.4068641923863066,1.0902618752294633,0.8637939326551042,0.8948487907006637,0.9976221275839231
SPAC1002.07c,0.6260575348133189,0.687942825433693,0.8154168476054616,1.0155398261152146,1.2933873874931867,1.31678551394956,1.2996405310593233,1.2515329248425369,1.19719666416125,1.1055922365484032
SPAC1002.08c,1.1665907472807955,1.2379110176443364,1.3633901894523432,1.2621637478687833,1.0365714405014714,1.0018700609252529,1.1742926934556797,1.130880754214183,1.2636570092830834,1.025582865300869
SPAC1002.09c,0.8892759077303786,0.8049639647811003,0.7644571336253736,0.7669479306087094,0.7968962283567089,0.8156321891179076,0.816297592664648,0.8286002171870498,0.8382421051245822,0.9013129587474108
SPAC1002.12c,0.9461179655147927,0.8742800023564904,0.824189998575725,0.8535623365175073,0.9852227893305113,1.0184714099582635,1.0085997899262993,1.04586829404818,1.11847311290139,1.2029551246186803
SPAC1002.13c,1.0438900094507149,1.3774787114310934,1.3873206944308765,1.2013859573415233,1.0057844022717164,0.9662154748299528,1.0139851880504127,0.9898190596597356,1.0838542854002327,0.9294989791268576
SPAC1002.15c,0.7203253855636991,0.7805293017040255,0.871919384989008,1.0877837644991433,1.2921000212170635,1.3653374737420734,1.2503509635486132,1.0656741379476433,1.0205854529706133,0.9904727324486897
SPAC1002.17c,3.45579210716817,2.551659389697057,2.0077353969303133,1.5824329876125767,1.32747806238159,1.1019040594250675,0.9380683568800761,0.8679285251103908,0.7888737436658544,0.6595044644099317
SPAC1002.18,1.7358026678755867,1.4508228148833566,1.1836594022190932,1.02373474691096,0.9491954254949716,0.910914986594051,0.9415234689512223,0.9379827218834554,0.9130806322572974,0.8832232671323941
