,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot
,h0,h1,h2,h3,h4,h5,h6,h7,h8,h10
SPAC1002.01,-2.0654733588693857,-0.6544322095348355,-1.0924910460506312,-0.13407448089696145,0.16666807500144468,0.80389198041183,0.5842813727193079,0.4678459977932259,0.8938158923124422,1.0299677771135627
SPAC1002.02,-1.54957473126062,-1.0639974362365232,0.20045102575740834,1.0461625404151038,1.364659631266192,1.047123375021585,0.39729420647295094,0.002752474204626502,-0.4294755013215185,-1.015395584319205
SPAC1002.03c,2.012198324266843,1.0405624540446052,-0.5292950651162595,-1.1358693322749418,-1.1309641026105375,-0.7380180848452397,-0.28688628758157986,0.205615212453637,0.590611516106322,-0.02795463444284879
SPAC1002.04c,0.4020227412731802,0.19587657453153137,0.01940487281333433,0.641621076506497,1.4942911579901155,1.148890948602256,-0.25886069358178365,-1.5445458664960563,-1.349513786944008,-0.7491870246950668
SPAC1002.07c,-1.778819322030065,-1.4401731038124008,-0.8294620964580223,-0.04098297778563489,0.8278549998651872,0.8922654458260985,0.8451820612701944,0.709676190911144,0.5502157067298727,0.2642430954836259
SPAC1002.08c,0.04851888720927674,0.6263884374318206,1.5666154020787308,0.8153336023474881,-1.1022307308698438,-1.4338234345636185,0.11260099330796468,-0.254234583211096,0.8268481766224548,-1.2060167503531791
SPAC1002.09c,1.4633560125901817,-0.3657448817975561,-1.313835442493621,-1.254102596048296,-0.5507123447835335,-0.12398280105658652,-0.10900844198447711,0.16567439291925853,0.3781147291903344,1.7102413734642925
SPAC1002.12c,-0.30528910203437387,-0.96393492345615,-1.4560399656123268,-1.163965415505182,0.032518534994313064,0.3093533675618454,0.2281149346703401,0.5307567152170724,1.0905676047206838,1.6979182494437783
SPAC1002.13c,-0.2976377619247192,1.6353321250990285,1.6849599189348472,0.6818919888804176,-0.5568516109040621,-0.8366272149606151,-0.5002459094271791,-0.6683882135273376,-0.03575449840859162,-1.1066788237617886
SPAC1002.15c,-1.6552219226770755,-1.2774768263981242,-0.7564091688023463,0.2845558223685856,1.0945785794977898,1.3540322389369137,0.9400130063174451,0.18791960486616502,-0.015525149128455873,-0.15646618498089787
