,prot,prot,prot,prot,prot,prot,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10,h0,h1,h3,h5,h7,h10
SPAC1002.01,0.559502173117165,0.7973652365776127,0.9086475896880137,1.14992207780609,1.056883232583457,1.2170796782356101,94.72617802386179,43.2148944886749,115.58356220055401,100.703494636055,75.0985386245,7.9176381269293294
SPAC1002.02,0.2948176870108463,0.409764415354621,1.7134900508202733,1.7146066735083467,0.8445865906496873,0.4234920905261417,111.177815124587,228.37504508269902,1362.1101442718,69.4286359594647,135.632004861966,48.754813180004206
SPAC1002.03c,1.1999344454626035,1.0982798047625535,0.9007381466092407,0.9339857638058381,1.0178336552091067,0.996403387684072,66.4223667490234,25.9398478593262,40.7181246180684,33.3544518411277,103.57882161680901,15.223205646147498
SPAC1002.04c,1.2288817604923132,1.18384939284372,1.2833786019926599,1.4068641923863066,0.8637939326551042,0.9976221275839231,35.0529942851935,59.5092229273125,398.995782379877,88.5263484854751,181.437064837956,72.3849481226802
SPAC1002.07c,0.6260575348133189,0.687942825433693,1.0155398261152146,1.31678551394956,1.2515329248425369,1.1055922365484032,130.411811149183,85.7847959018399,1121.42237101164,505.515368044719,23.491893300008698,44.83013329675071
SPAC1002.08c,1.1665907472807955,1.2379110176443364,1.2621637478687833,1.0018700609252529,1.130880754214183,1.025582865300869,5.8531691225252,7.21648074947975,42.6711768393612,28.423058357436105,5.91122731739761,2.97818623705867
SPAC1002.09c,0.8892759077303786,0.8049639647811003,0.7669479306087094,0.8156321891179076,0.8286002171870498,0.9013129587474108,604.989459380941,474.773008365971,510.050058764827,207.04767805164602,233.39217631238301,67.6003700771915
SPAC1002.12c,0.9461179655147927,0.8742800023564904,0.8535623365175073,1.0184714099582635,1.04586829404818,1.2029551246186803,158.850116456396,57.1517041260361,260.158527353167,52.8779961838974,138.313791506743,177.026896227456
SPAC1002.13c,1.0438900094507149,1.3774787114310934,1.2013859573415233,0.9662154748299528,0.9898190596597356,0.9294989791268576,396.00006823649596,4476.00471989572,6577.559705024771,36.49742598270021,162.641745520745,117.85880267949601
SPAC1002.15c,0.7203253855636991,0.7805293017040255,1.0877837644991433,1.3653374737420734,1.0656741379476433,0.9904727324486897,85.96533106019069,35.6528274044023,413.977804439112,132.881416323046,40.1270131321269,10.941153346782801
SPAC1002.17c,3.45579210716817,2.551659389697057,1.5824329876125767,1.1019040594250675,0.8679285251103908,0.6595044644099317,1037.15746254241,11.021321825227199,439.74444220558996,2475.39435564192,774.659505163001,241.543823305704
SPAC1002.18,1.7358026678755867,1.4508228148833566,1.02373474691096,0.910914986594051,0.9379827218834554,0.8832232671323941,97.75890620636629,113.380730362332,657.169523919797,109.870645789564,49.7312433969478,26.4691225258933
SPAC1002.19,4.068619802720787,3.1237353655701106,1.6353115917153398,0.8104295760220359,0.7071543096351106,0.5999299507897263,1363.1754736998,201.537167828651,229.740038027737,1117.38016564481,3015.4204709724104,722.970221402401
SPAC1006.01,0.7269246808408686,0.4220537703597957,0.6069037533560656,1.7201192282083866,1.4981285577140635,1.8320106926039266,1153.9906500254801,30.7206139501755,693.211794609108,4306.53564708325,683.309184865132,650.114866877775
SPAC1006.03c,1.0838008187238366,1.2034938224813132,1.5171921110170468,1.1778377983957933,0.42144452469854005,0.499313185696616,26.1040165858656,75.0774728536808,100.227684815658,32.2573063195209,35.609457858888895,13.985361605382302
SPAC1006.04c,0.17180230493036333,0.19511904286594528,1.0968579958479445,2.4088037080552396,1.1042477821228067,0.8761753766195772,4.74537601701848,15.284854652759199,273.045023926466,685.475132001105,5.50744786515387,2.06441759030155
SPAC1006.05c,1.0658096115865747,0.983232455020674,0.9188615139101893,1.0023451849989233,0.8526180260315713,1.0963245444313567,76.8912276941069,20.7983062393161,164.729229527199,171.44580972282301,85.14098090413191,61.6702110287941
SPAC1006.06,0.42799367750310796,0.43439913114264667,0.7811603733371246,2.58369017378322,1.2351297557308334,0.747404198705652,14.492410333087802,24.9803801080109,141.922322686228,473.68225334286103,40.2874846862149,4.70464884494542
SPAC1006.07,0.9201714049544837,0.965392585024885,1.0109373037289255,0.9827445428319749,1.0660033541707834,1.10021098683978,1008.5449515314999,13175.837902328401,3702.8125408465294,5892.213011795479,2837.51915015394,1093.53768871534
SPAC1006.09,1.4089174217489167,1.2158513842261003,1.044528485036609,1.0585591407322266,0.8299581911028623,0.687481889867202,30.924236281792602,21.601280246159803,98.4890599334404,7.56661296424249,43.1361152853609,28.5970219344206
SPAC1039.02,1.8294864383960068,1.49230216638576,0.9839499265488816,0.8639480616636889,0.9590272876518727,0.82436417991299,1477.5568170479098,161.49381730493099,205.332987015425,5.46365650489159,127.45548878817301,31.5856367952353
SPAC1039.06,1.7679713609613732,1.56185905515023,1.0823196547272358,0.9029033718771714,0.9369709245152807,0.9411828174032465,328.47078973921003,17.8738201343071,51.991490745827996,14.6758738184813,25.278601665952,14.1545215232958
SPAC1039.10,2.9233423277512434,2.4545597838024835,1.565751504764121,1.2113219395581576,1.266956974892372,1.2788091810076958,861.466941741355,14.243601110325699,4.29345502175038,3.94590799548381,8.21359261278868,1.6531017008185902
SPAC1039.11c,0.15608680804550615,0.0395569002324719,0.1250717541763207,1.2972304028599086,4.1832659488951505,3.10397568450799,35.7488741663976,31.758538884040497,679.3701437675679,9504.052640080921,1162.95908656402,141.008580459557
