,ribo,ribo,ribo,ribo,ribo,ribo
,h0,h1,h3,h5,h7,h10
SPAC1002.01,94.72617802386179,43.2148944886749,115.58356220055401,100.703494636055,75.0985386245,7.9176381269293294
SPAC1002.02,111.177815124587,228.37504508269902,1362.1101442718,69.4286359594647,135.632004861966,48.754813180004206
SPAC1002.03c,66.4223667490234,25.9398478593262,40.7181246180684,33.3544518411277,103.57882161680901,15.223205646147498
SPAC1002.04c,35.0529942851935,59.5092229273125,398.995782379877,88.5263484854751,181.437064837956,72.3849481226802
SPAC1002.07c,130.411811149183,85.7847959018399,1121.42237101164,505.515368044719,23.491893300008698,44.83013329675071
SPAC1002.08c,5.8531691225252,7.21648074947975,42.6711768393612,28.423058357436105,5.91122731739761,2.97818623705867
SPAC1002.09c,604.989459380941,474.773008365971,510.050058764827,207.04767805164602,233.39217631238301,67.6003700771915
SPAC1002.12c,158.850116456396,57.1517041260361,260.158527353167,52.8779961838974,138.313791506743,177.026896227456
SPAC1002.13c,396.00006823649596,4476.00471989572,6577.559705024771,36.49742598270021,162.641745520745,117.85880267949601
SPAC1002.15c,85.96533106019069,35.6528274044023,413.977804439112,132.881416323046,40.1270131321269,10.941153346782801
SPAC1002.17c,1037.15746254241,11.021321825227199,439.74444220558996,2475.39435564192,774.659505163001,241.543823305704
SPAC1002.18,97.75890620636629,113.380730362332,657.169523919797,109.870645789564,49.7312433969478,26.4691225258933
SPAC1002.19,1363.1754736998,201.537167828651,229.740038027737,1117.38016564481,3015.4204709724104,722.970221402401
SPAC1006.01,1153.9906500254801,30.7206139501755,693.211794609108,4306.53564708325,683.309184865132,650.114866877775
SPAC1006.03c,26.1040165858656,75.0774728536808,100.227684815658,32.2573063195209,35.609457858888895,13.985361605382302
SPAC1006.04c,4.74537601701848,15.284854652759199,273.045023926466,685.475132001105,5.50744786515387,2.06441759030155
SPAC1006.05c,76.8912276941069,20.7983062393161,164.729229527199,171.44580972282301,85.14098090413191,61.6702110287941
SPAC1006.06,14.492410333087802,24.9803801080109,141.922322686228,473.68225334286103,40.2874846862149,4.70464884494542
SPAC1006.07,1008.5449515314999,13175.837902328401,3702.8125408465294,5892.213011795479,2837.51915015394,1093.53768871534
SPAC1006.09,30.924236281792602,21.601280246159803,98.4890599334404,7.56661296424249,43.1361152853609,28.5970219344206
SPAC1039.02,1477.5568170479098,161.49381730493099,205.332987015425,5.46365650489159,127.45548878817301,31.5856367952353
SPAC1039.06,328.47078973921003,17.8738201343071,51.991490745827996,14.6758738184813,25.278601665952,14.1545215232958
SPAC1039.10,861.466941741355,14.243601110325699,4.29345502175038,3.94590799548381,8.21359261278868,1.6531017008185902
SPAC1039.11c,35.7488741663976,31.758538884040497,679.3701437675679,9504.052640080921,1162.95908656402,141.008580459557
SPAC105.02c,182.524334493553,623.837719847619,2752.1064246719,751.7473403320171,443.89040462034797,279.840869201296
SPAC1071.01c,23.420481263253304,20.4316178008452,77.2980416078465,49.74670574217521,22.2146313269484,16.614817199971398
SPAC1071.02,35.408617887645605,52.463414042617394,24.9982280734056,21.8813395039423,57.0402676384832,6.79030777857656
SPAC1071.04c,55.746635772947705,98.24699146774158,274.189799170524,47.650828173400704,28.2646456088272,7.88228713777112
SPAC1071.05,44.8050768568688,43.3725802809116,77.4783819553075,10.538808688936198,32.0576001671771,33.7482015851868
SPAC1071.06,54.4088604778935,80.91024527833441,156.088396874675,11.2371775790295,125.911706145083,13.6223146861853
SPAC1071.07c,635.323602428038,866.225717699721,428.163794413368,75.8853353461542,274.813390101374,572.036964221031
SPAC1071.08,612.682036770951,4729.56499408448,2062.55522832633,32.2810357458751,590.2953753440889,756.5014539875721
SPAC1071.10c,1302.4705100159401,1647.33728653974,829.418193205094,44.121254489501105,73.6991360567795,34.6103182812648
SPAC1071.11,50.113029813744895,56.4139698593892,42.845695845441,37.4740924266639,117.297570199355,6.34007162488454
SPAC1071.12c,209.193118719525,71.3548693751724,365.95503414522796,46.4941270840295,42.145753243596204,34.469029062929
SPAC1093.02,38.143116607407606,173.00661978019798,431.169193672401,13.602346285729599,248.422155623003,52.373750766446896
SPAC1093.04c,38.313745591866,26.0083235301663,379.67876302953204,57.1934400310768,49.898461542350795,12.411620975171001
SPAC1093.05,17.5327517465644,189.91700340085202,65.0369719622009,62.0749516513943,87.1930953834825,6.075640916474299
SPAC1093.06c,34.1692627644972,63.087126032425004,11.410910266046901,2.88236096168535,0.426875831778344,0.238803872133597
SPAC10F6.01c,72.3775563056047,551.443665258829,295.161441589269,193.516196486415,221.89856203049598,63.045714245653706
SPAC10F6.02c,30.498107835854302,14.2539444028108,95.39019462658742,3.46905141173837,18.200021255465,19.211544971113998
SPAC10F6.03c,105.625515712374,276.532640238997,108.6130864512,91.51256308604059,219.559846629151,28.1788274926588
SPAC10F6.05c,256.125541385363,104.477104260499,1006.37470503193,925.859296952656,319.080153668805,61.4880013187153
SPAC10F6.06,3364.88774212784,1238.96041612596,5267.74118109136,737.592291379183,2465.83300409073,3254.71555747143
SPAC10F6.08c,61.284279674695604,21.883527448603896,147.174750253085,51.383210808566105,14.882778248085499,20.570552465961498
SPAC10F6.09c,15.9132823760449,196.380843713661,821.923650470255,4.85564668530795,93.2884797871278,12.1408455914957
SPAC10F6.10,28.7968663371521,83.02948868542191,58.377552439184704,20.2052488125457,12.2005066326107,6.792428697928179
SPAC10F6.11c,59.6004483111658,32.9141767895548,43.313670686602705,145.378862232214,134.259865636251,19.8791743467629
