,ribo,ribo,ribo,ribo,ribo
,d1,d3,d5,d7,d10
SPAC1002.01,-1.132234537528669,1.419335694589793,-0.19882248956190107,-0.4232570098638391,-3.2456427978945466
SPAC1002.02,1.038536078132096,2.5763664499101946,-4.294168730863961,0.9660949163347627,-1.4760810920684495
SPAC1002.03c,-1.3564991115740446,0.6505010977569556,-0.2877917840330664,1.6347778137420281,-2.7663849572814687
SPAC1002.04c,0.7635755922681096,2.7451883120975937,-2.1721946765162947,1.0352903867926608,-1.3257075700820575
SPAC1002.07c,-0.6042806586901728,3.708463971165444,-1.1495028983000832,-4.427520056435487,0.9323057988133048
SPAC1002.08c,0.3020774868846008,2.5638945427867843,-0.5862001007804238,-2.265532192877938,-0.9890237269483397
SPAC1002.09c,-0.349672089096174,0.10340092935784817,-1.3006758234497653,0.17279317674738426,-1.7876531507039308
SPAC1002.12c,-1.47479772584036,2.1865225741835124,-2.2986515841208774,1.3872056053275506,0.35602355267517627
SPAC1002.13c,3.4986389736059014,0.555340881286007,-7.493613908604761,2.1558309786318004,-0.46463808869666234
SPAC1002.15c,-1.2697384605402044,3.5374650217066117,-1.6394140636822412,-1.7274936777993073,-1.8748089467382072
SPAC1002.17c,-6.556193870629424,5.318296177232619,2.492921130431972,-1.6760241487958591,-1.6812773646423391
SPAC1002.18,0.21387541918021746,2.53509010952121,-2.58045958518563,-1.143581584573199,-0.9098421332803435
SPAC1002.19,-2.7578534512048885,0.18895637725072234,2.2820459067513292,1.4322390692156581,-2.060351055910459
SPAC1006.01,-5.231280676115563,4.4960172476928255,2.635159666670022,-2.6559173487462076,-0.07184387308272022
SPAC1006.03c,1.5241082799330794,0.41682906947600884,-1.63558318885734,0.1426345016099404,-1.3483429147520014
SPAC1006.04c,1.6875085193232584,4.158964126363793,1.3279654633207265,-6.959576584851719,-1.4156491045157102
SPAC1006.05c,-1.886352970750055,2.985558620466443,0.05765607469863099,-1.009827027515203,-0.4652799283475435
SPAC1006.06,0.7854978700888067,2.506234191293025,1.7388180959562032,-3.55551598188978,-3.0981727855909487
SPAC1006.07,3.7075474189279323,-1.8312012929481192,0.6701880735145771,-1.054179457721677,-1.375627185404781
SPAC1006.09,-0.5176211468903036,2.1888466610067443,-3.7022439227317703,2.5111766997663993,-0.5930313433854675
SPAC1039.02,-3.193662769599772,0.34648648367650736,-5.231954821147461,4.543982907645546,-2.0126529397550366
SPAC1039.06,-4.199845163571125,1.540427510497759,-1.8248291164134383,0.7844702546732556,-0.8366536788111869
SPAC1039.10,-5.918409590928737,-1.7301029556576974,-0.12178176022968379,1.057656074698637,-2.3128379089372686
SPAC1039.11c,-0.17075326814341807,4.4189813725812295,3.8062731041091826,-3.0307424837852075,-3.0439454837326423
SPAC105.02c,1.773081967069297,2.141293568650463,-1.872216496818579,-0.7600443356714521,-0.6655968474387155
SPAC1071.01c,-0.19696727884725096,1.919628420093555,-0.6358308704151074,-1.163090794012918,-0.4190397783870692
SPAC1071.02,0.5672111618554903,-1.0694858563760823,-0.19212477937568906,1.3822796931637749,-3.0704318781722546
SPAC1071.04c,0.8175284865037611,1.4806897639982113,-2.5246017051954084,-0.7535026803191194,-1.8423123977617268
SPAC1071.05,-0.04687893989852743,0.8370105520543163,-2.8780820318910045,1.6049546359654299,0.07414419479628265
