,prot,prot,prot,prot,prot,ribo,ribo,ribo,ribo,ribo
,d1,d3,d5,d7,d10,d1,d3,d5,d7,d10
SPAC1002.01,0.5110969736141404,0.1884801590860547,0.33974333062687084,-0.12172011056697898,0.20360762714022226,-1.132234537528669,1.419335694589793,-0.19882248956190107,-0.4232570098638391,-3.2456427978945466
SPAC1002.02,0.47497162497622347,2.0640712062541473,0.0009398486688941832,-1.0215604166877217,-0.9959103170164765,1.038536078132096,2.5763664499101946,-4.294168730863961,0.9660949163347627,-1.4760810920684495
SPAC1002.03c,-0.1277099396554259,-0.28606598481326706,0.052292798524885414,0.12402933562686001,-0.030699968956121988,-1.3564991115740446,0.6505010977569556,-0.2877917840330664,1.6347778137420281,-2.7663849572814687
SPAC1002.04c,-0.05386055476090759,0.11646127860375896,0.132536234635947,-0.7037239807444737,0.20780628197215628,0.7635755922681096,2.7451883120975937,-2.1721946765162947,1.0352903867926608,-1.3257075700820575
SPAC1002.07c,0.13599342106887968,0.5618862450779658,0.37477355129512724,-0.07332412438263924,-0.17887685509469897,-0.6042806586901728,3.708463971165444,-1.1495028983000832,-4.427520056435487,0.9323057988133048
SPAC1002.08c,0.08560907913903124,0.027991475878895777,-0.33320368359066416,0.1747514041673717,-0.14100274852448266,0.3020774868846008,2.5638945427867843,-0.5862001007804238,-2.265532192877938,-0.9890237269483397
SPAC1002.09c,-0.14370690004827968,-0.06979556657626723,0.0887900787319984,0.02275748568636804,0.1213519349162844,-0.349672089096174,0.10340092935784817,-1.3006758234497653,0.17279317674738426,-1.7876531507039308
SPAC1002.12c,-0.11392467514925364,-0.0345988816530248,0.2548370585421518,0.038295702543335156,0.2018816400390296,-1.47479772584036,2.1865225741835124,-2.2986515841208774,1.3872056053275506,0.35602355267517627
SPAC1002.13c,0.40006031363649763,-0.1973303166747969,-0.3142828416675819,0.03481986353285662,-0.09071154194973356,3.4986389736059014,0.555340881286007,-7.493613908604761,2.1558309786318004,-0.46463808869666234
SPAC1002.15c,0.11580404480702378,0.47886710014160827,0.3278657912024231,-0.3574912316697364,-0.1055771943334524,-1.2697384605402044,3.5374650217066117,-1.6394140636822412,-1.7274936777993073,-1.8748089467382072
SPAC1002.17c,-0.4375806681110983,-0.6892913565092068,-0.5221457893240827,-0.3443504716995883,-0.3961938144001423,-6.556193870629424,5.318296177232619,2.492921130431972,-1.6760241487958591,-1.6812773646423391
SPAC1002.18,-0.2587316088117091,-0.5030293810117957,-0.1684536343368052,0.042244930604271105,-0.08678316965655573,0.21387541918021746,2.53509010952121,-2.58045958518563,-1.143581584573199,-0.9098421332803435
SPAC1002.19,-0.3812672348366728,-0.9337066848877568,-1.0128068222482876,-0.196661762258743,-0.23723100477785014,-2.7578534512048885,0.18895637725072234,2.2820459067513292,1.4322390692156581,-2.060351055910459
SPAC1006.01,-0.784379076892612,0.5240409304817764,1.5029689192338522,-0.1993471372927933,0.29026649385636705,-5.231280676115563,4.4960172476928255,2.635159666670022,-2.6559173487462076,-0.07184387308272022
SPAC1006.03c,0.15112909441949915,0.33417503864979836,-0.36526289774471365,-1.482726232484107,0.2446022655778699,1.5241082799330794,0.41682906947600884,-1.63558318885734,0.1426345016099404,-1.3483429147520014
