,prot,prot,prot,prot,prot
,d1,d3,d5,d7,d10
SPAC1002.01,0.5110969736141404,0.1884801590860547,0.33974333062687084,-0.12172011056697898,0.20360762714022226
SPAC1002.02,0.47497162497622347,2.0640712062541473,0.0009398486688941832,-1.0215604166877217,-0.9959103170164765
SPAC1002.03c,-0.1277099396554259,-0.28606598481326706,0.052292798524885414,0.12402933562686001,-0.030699968956121988
SPAC1002.04c,-0.05386055476090759,0.11646127860375896,0.132536234635947,-0.7037239807444737,0.20780628197215628
SPAC1002.07c,0.13599342106887968,0.5618862450779658,0.37477355129512724,-0.07332412438263924,-0.17887685509469897
SPAC1002.08c,0.08560907913903124,0.027991475878895777,-0.33320368359066416,0.1747514041673717,-0.14100274852448266
SPAC1002.09c,-0.14370690004827968,-0.06979556657626723,0.0887900787319984,0.02275748568636804,0.1213519349162844
SPAC1002.12c,-0.11392467514925364,-0.0345988816530248,0.2548370585421518,0.038295702543335156,0.2018816400390296
SPAC1002.13c,0.40006031363649763,-0.1973303166747969,-0.3142828416675819,0.03481986353285662,-0.09071154194973356
SPAC1002.15c,0.11580404480702378,0.47886710014160827,0.3278657912024231,-0.3574912316697364,-0.1055771943334524
SPAC1002.17c,-0.4375806681110983,-0.6892913565092068,-0.5221457893240827,-0.3443504716995883,-0.3961938144001423
SPAC1002.18,-0.2587316088117091,-0.5030293810117957,-0.1684536343368052,0.042244930604271105,-0.08678316965655573
SPAC1002.19,-0.3812672348366728,-0.9337066848877568,-1.0128068222482876,-0.196661762258743,-0.23723100477785014
SPAC1006.01,-0.784379076892612,0.5240409304817764,1.5029689192338522,-0.1993471372927933,0.29026649385636705
SPAC1006.03c,0.15112909441949915,0.33417503864979836,-0.36526289774471365,-1.482726232484107,0.2446022655778699
SPAC1006.04c,0.18360519422908306,2.490950268662817,1.1349400739627096,-1.1252528992935957,-0.3337723588178917
SPAC1006.05c,-0.11634530585249975,-0.09768509537583972,0.12546007820470406,-0.23340796346205694,0.36270347968535455
SPAC1006.06,0.02143173285363309,0.8465975485629172,1.72574240671318,-1.0647704668128517,-0.724702037627464
SPAC1006.07,0.06921312152941002,0.0665058761054116,-0.04080517449243683,0.11732362501538417,0.04556823756241009
SPAC1006.09,-0.21262015986730237,-0.21911505999844785,0.01925003738723899,-0.3509913055823847,-0.2717169534212398
SPAC1039.02,-0.2938990343777599,-0.6008828834957256,-0.1876403144521428,0.1506272816251616,-0.21829004692553824
SPAC1039.06,-0.17883063690060286,-0.5291376171653999,-0.26148314609553214,0.05343268008947835,0.006470702619370952
SPAC1039.10,-0.2521544750474143,-0.6486090402881135,-0.3702729166155114,0.06478518341379369,0.013433474626040443
SPAC1039.11c,-1.9803473277121264,1.66075472962269,3.374606823829031,1.6891949780827864,-0.4305124634770918
SPAC105.02c,-0.13085034615755464,0.3311614204861503,0.6879327110327091,0.33014140393270786,-0.0800593052607691
SPAC1071.01c,-0.04740749585272627,-0.11259017249311366,0.007477322175453022,-0.1778812885782832,0.164880471438891
SPAC1071.02,0.04941585983135484,-0.21035247069665272,-0.1603592530814481,0.02931702860369023,0.09747414680778123
SPAC1071.04c,-0.13150239783456918,0.15702577218984481,0.29856383694350713,-0.010031011787337438,-0.2490386813791569
SPAC1071.05,-0.05476684866908508,0.04575704511472679,0.1359967086295651,-0.0591696449371612,-0.08505102988575355
SPAC1071.06,-0.018432660103790993,0.1381122946885053,-0.11137141190791672,-0.050714755136920114,0.04454147397802864
SPAC1071.07c,0.017243545081090356,0.0364048824562188,-0.209790985465723,0.02219851984004964,-0.12279056093470014
SPAC1071.08,0.07615775722776563,0.08801007502131042,-0.09569626774041518,0.06570049009913953,-0.22194309212465804
SPAC1071.10c,-0.11908413864133202,-0.3470808112275804,-0.21305313548260008,0.23995282652093042,-0.014476487121425796
SPAC1071.11,-0.21279640886682555,-0.030914739141550567,-0.12574792291355685,0.03727602751749437,0.026557403499351595
SPAC1071.12c,0.04965069297285947,0.08399106121767352,-0.24184676606578065,-0.010456058375821364,-0.40850841277350913
SPAC1093.02,-0.09607580394891091,-0.36441176437913875,-0.18527438856942346,0.03933479656660799,-0.023013817035138745
SPAC1093.04c,0.20541223185770352,0.5600811836316747,0.3341990692278616,0.02777947977193926,0.035034646270690584
SPAC1093.05,0.578790968638037,-0.21558477148143462,-0.2622960459328521,-0.514794980603421,-0.031001636942943306
SPAC1093.06c,0.11628345521821559,0.3730631078543778,0.21973345866130262,0.06845374600508902,-0.6367863433954464
SPAC10F6.01c,-0.05467621216223101,-0.3189021155525875,-0.19075821236445567,0.06633911547387217,0.024240765848652146
SPAC10F6.02c,-0.07166304252450055,0.25840334763991085,-0.30047492532159975,-0.09462212606176157,0.05453719291988285
SPAC10F6.03c,0.5281172214515057,-0.07534465245470864,-0.27578337140085707,0.09410291595926663,-0.010395378222867957
SPAC10F6.05c,1.0306690981483986,1.0652198241311954,1.062511716586276,-0.4728113573533489,-1.7089578396249214
SPAC10F6.06,-0.05809853673385087,0.10171428593149687,0.2894443095053483,0.10612169189951032,-0.019906772093544134
SPAC10F6.08c,0.04332434741437813,0.15127480666493423,-0.03310556109849072,-0.4666936935968581,0.07767350372169204
SPAC10F6.09c,0.677646542387972,1.5514400603910072,-1.8442953508454205,-1.029730647417513,-0.38277879818606975
SPAC10F6.10,0.36189911212235415,-0.04989370827326037,-0.17027554091328917,-0.03245249201656706,-0.05217417109793676
SPAC10F6.11c,-0.053998441517204454,0.44304885760812707,0.33161230481424236,0.4163665529774315,0.022858427676545334
SPAC10F6.12c,0.3256140081867791,-0.07353650079667906,-0.38981288870301123,0.05834608821204501,-0.30715141603415574
SPAC10F6.13c,-0.1783733601623334,-0.4853914489093191,-0.26107237145998974,0.028400896005749188,0.100077847576106
SPAC10F6.14c,0.026967668233116526,-0.0693087611627905,0.014592159050447834,0.07865705034305259,0.06513878346503932
